PM2.5,PM2.5,PM10,PM10,SO2,SO2,NO2,NO2,CO,CO,O3,O3,TEMP,TEMP,PRES,PRES,DEWP,DEWP,RAIN,RAIN
mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max,mean,max
73.00680403413983,536.0,88.91852946098432,553.0,23.089576269893914,145.0,38.76383732488442,190.0,1336.4120663277092,10000.0,40.32796743195589,95.0,-1.4584739680503878,13.686111287865991,1018.8151602636594,1036.5,-15.672618304216524,1.5054954157264864,0.0004653091217424927,0.2
77.84228826946432,881.0,88.74025127671482,905.0,19.93361901734703,156.0,28.091000889418027,124.0,1092.664592200205,8600.0,54.42440947492407,136.0,1.374022453545273,15.6,1017.01554131859,1031.2,-13.452448610967526,4.3,0.005881496438701614,1.2
83.97634070473467,474.0,119.32363333545837,895.0,18.554886471989896,131.0,34.14615636409932,184.0,998.5914668898243,6900.0,67.57969419022292,228.0,8.399519302628091,26.0,1010.8184622349218,1029.1,-9.203963207185575,11.3,0.00891153639093805,5.7
64.78509923152333,346.0,100.8984521848924,792.0,9.661503655131291,90.0,25.91955381118932,115.0,636.5829940951631,3200.0,85.82127527440095,409.0,15.43736111111111,32.0,1005.1864930555556,1025.2,-1.1251041666666668,15.5,0.019131944444444444,4.8
54.043292588336854,358.0,87.98788934665731,828.0,9.424155884249977,97.0,20.418155402664613,94.0,564.6475079713101,2800.0,104.69474958995052,500.0,21.61646505376344,41.4,999.347748655914,1013.9,5.655073924731183,18.9,0.048084677419354835,21.0
56.619905332952534,368.0,66.00985678798858,388.0,5.605350411852845,89.0,17.865729273391057,75.0,696.72764624052,7000.0,103.70872271750164,432.0,24.7053125,38.1,996.3840972222223,1006.4,14.697951388888889,23.5,0.10885416666666667,28.7
59.93278202578481,252.0,68.22506806759743,294.0,4.341782484195421,41.0,16.39768739093952,69.0,690.4536576813142,3000.0,95.80380317304562,500.0,27.247513440860217,39.2,995.2270833333333,1005.7,19.092036290322582,26.9,0.2577956989247312,52.1
43.68670259357442,290.0,55.43139543223257,650.0,4.405743142366168,83.0,13.980949196377207,69.0,652.1254097282679,2300.0,94.94654539487144,362.0,26.686895161290323,37.7,998.3360215053764,1010.0,17.974193548387095,27.2,0.08195564516129032,26.5
50.43286622146063,285.0,58.73438824385156,298.0,4.60964636009495,56.0,18.281917318225112,96.0,664.1007248783903,2900.0,67.9780463842873,283.0,20.72081467674134,34.5,1005.712611786304,1022.4,13.120603634691001,21.3,0.12219533439167041,18.6
79.3870947248397,414.0,91.19358052828424,414.0,7.314854629177259,75.9696,30.59561103488664,174.0,904.0811477600789,3000.0,45.33174037793238,295.3818,13.575557835685483,28.1,1011.8472950268816,1031.1,4.687197580645162,17.4,0.0396505376344086,6.0
69.87590293070342,394.0,87.86977595245938,720.0,14.194842113001043,124.236,42.69671281542311,190.3131,1181.6721194590677,5800.0,29.229797347638684,180.5706,5.097916666666666,20.8,1016.0492708333333,1033.1,-5.680798611111111,9.0,0.02673611111111111,2.4
78.61878573677161,647.0,91.295634443134,771.0,20.16882442340612,150.0,43.7332020073446,205.0,1443.1407223640917,9400.0,31.885424385679233,500.0,0.10006720430107527,14.2,1018.9559139784946,1032.0,-12.869522849462365,1.5,0.0010416666666666667,0.7
